,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
           ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                        2012,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                      Written by,,,,,,,,
          ,,,,,,,,
                           Roland Emmerich & Harald Kloser,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                                           Second Draft,,,,,,,,
"                                                    February 19th, 2008",,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          OVER BLACK,,,,,,,,
          ,,,,,,,,
          We listen to the immortal music of Mozart's Adagio of the,,,,,,,,
          Clarinet Concerto in A.,,,,,,,,
          ,,,,,,,,
                                                                FADE UP,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. THE SOLAR SYSTEM,,,,,,,,
          ,,,,,,,,
"          Space, infinite and empty.",,,,,,,,
          ,,,,,,,,
"          But then, slowly all nine planets of our Solar System move",,,,,,,,
          into frame and align.,,,,,,,,
          ,,,,,,,,
"          The last of them is the giant, burning sphere of the sun.",,,,,,,,
          ,,,,,,,,
"          Just as the sun enters frame, a solar storm of gigantic",,,,,,,,
          proportion unfolds. The eruptions shoot thousands of miles,,,,,,,,
          into the blackness of space.,,,,,,,,
          ,,,,,,,,
                                                          FADE TO BLACK,,,,,,,,
          ,,,,,,,,
                                       2009,,,,,,,,
          ,,,,,,,,
                                                                FADE UP,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. COUNTRY SIDE/INDIA - SUNSET,,,,,,,,
          ,,,,,,,,
"          Mozart's concerto filters from a jeep's stereo, fighting the",,,,,,,,
"          drumming sounds of the monsoon rain. PROF. FREDERIC WEST, 66,",,,,,,,,
          listens to the music.,,,,,,,,
          ,,,,,,,,
          An Indian BOY playing by the roadside steers his wooden toy,,,,,,,,
          ship across a puddle.,,,,,,,,
          ,,,,,,,,
"          The Professor turns to his driver, pointing to the boy.",,,,,,,,
          ,,,,,,,,
                                       PROF. WEST,,,,,,,,
                       Watch out!,,,,,,,,
          ,,,,,,,,
          But it's too late. The jeep drives straight through the,,,,,,,,
"          puddle at full speed, sinking the boy's toy ship.",,,,,,,,
          ,,,,,,,,
"          In the background, the jeep stops in front of a building. The",,,,,,,,
"          driver jumps out, leading the Professor towards its entrance.",,,,,,,,
          ,,,,,,,,
          The sign at the door reads: `Institute for Astrophysics -,,,,,,,,
          University of New Delhi'.,,,,,,,,
          ,,,,,,,,
                                                                        2.,,,,,,,,
          ,,,,,,,,
          INT. NAGA-DENG MINE/INDIA - SUNSET,,,,,,,,
          ,,,,,,,,
          An endless mine shaft. An old elevator cage comes to a,,,,,,,,
          grinding halt. When Prof. West steps out we see that he is,,,,,,,,
"          accompanied now by a nervous DR. SATNAM TSURUTANI, 32.",,,,,,,,
          ,,,,,,,,
                                       PROF. WEST,,,,,,,,
                    How deep are we?,,,,,,,,
          ,,,,,,,,
                                     SATNAM,,,,,,,,
                    8200 feet. Used to be an old copper,,,,,,,,
"                    mine, Professor, sir.",,,,,,,,
          ,,,,,,,,
"          As Prof. West follows Satnam, he takes in the unusual setting",,,,,,,,
          for this science lab.,,,,,,,,
          ,,,,,,,,
                                     PROF. WEST,,,,,,,,
                    Helmsley told me that the neutrino,,,,,,,,
                    count doubled during the last sun,,,,,,,,
                    eruptions.,,,,,,,,
          ,,,,,,,,
                                     SATNAM,,,,,,,,
"                    Correct, sir. But that is not what",,,,,,,,
                    worries me...,,,,,,,,
          ,,,,,,,,
          They enter a large room with low hanging ceilings. A small,,,,,,,,
"          group of WHITE COATS look up from their computers, which all",,,,,,,,
          show images of the solar storm we witnessed earlier.,,,,,,,,
          ,,,,,,,,
                                     SATNAM (CONT'D),,,,,,,,
"                    There was a new solar storm, so strong",,,,,,,,
                    that the physical reaction got even,,,,,,,,
                    more severe.,,,,,,,,
          ,,,,,,,,
                                       PROF. WEST,,,,,,,,
                    How can that be?,,,,,,,,
          ,,,,,,,,
                                     SATNAM,,,,,,,,
"                    We don't know, Professor, sir.",,,,,,,,
          ,,,,,,,,
          Satnam walks over into another room. There he opens a hatch,,,,,,,,
          on the floor and hot steam rises.,,,,,,,,
          ,,,,,,,,
                                     SATNAM (CONT'D),,,,,,,,
                    The neutrinos suddenly act like...,,,,,,,,
                    microwaves.,,,,,,,,
          ,,,,,,,,
          Prof. West slowly steps closer. When he discovers that the,,,,,,,,
"          water in the tank below is boiling, his face goes pale.",,,,,,,,
          ,,,,,,,,
                                                                CUT TO:,,,,,,,,
          ,,,,,,,,
                                                                        3.,,,,,,,,
          ,,,,,,,,
          EXT. LARGE TERRACE/WASHINGTON D.C. - EVENING,,,,,,,,
          ,,,,,,,,
          A major fund raising party is under way. The setting is,,,,,,,,
          spectacular. A terrace overlooking the Washington Mall and,,,,,,,,
          the Capitol Building.,,,,,,,,
          ,,,,,,,,
