,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
"          ADRIAN HELMSLEY, 32, stands with a group of young POLITICAL",,,,,,,,
          AIDES. He is the only African-American among them.,,,,,,,,
          ,,,,,,,,
"          One of the aides spots CARL ANHEUSER, 58, White House Chief",,,,,,,,
"          of Staff, working the crowd.",,,,,,,,
          ,,,,,,,,
                                     POLITICAL AID #1,,,,,,,,
                    Look at Anheuser. Anyone would think he,,,,,,,,
"                    was President. Did you hear, he wants",,,,,,,,
                    us to sign in and out like school boys?,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    I still can't believe that Wilson chose,,,,,,,,
                    him of all people to run the White,,,,,,,,
                    House.,,,,,,,,
          ,,,,,,,,
                                     POLITICAL AID #2,,,,,,,,
                    Why not? Anheuser owns the Senate and,,,,,,,,
                    the Congress.,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    Shame he's such a pompous ass.,,,,,,,,
          ,,,,,,,,
                                     ANHEUSER (O.S.),,,,,,,,
                    Somebody mention my name?,,,,,,,,
          ,,,,,,,,
          Adrian turns to see Anheuser smiling.,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                            (SHOCKED),,,,,,,,
"                    Yes sir... No, sir.",,,,,,,,
          ,,,,,,,,
                                       ANHEUSER,,,,,,,,
                    Which one is it?,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    We were talking about what a great,,,,,,,,
"                    speech you gave tonight. Well done,",,,,,,,,
                    sir.,,,,,,,,
          ,,,,,,,,
                                     ANHEUSER,,,,,,,,
"                    It's Helmsley, right? I'll remember",,,,,,,,
                    that.,,,,,,,,
          ,,,,,,,,
          Anheuser walks away with a dangerous smile.,,,,,,,,
          ,,,,,,,,
                                     POLITICAL AID #2,,,,,,,,
                    That guy scares the shit out of me.,,,,,,,,
          ,,,,,,,,
          At that moment Adrian's cell phone rings.,,,,,,,,
                                                              (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                        4.,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                            (into the phone),,,,,,,,
                    Professor West?,,,,,,,,
          ,,,,,,,,
                                     PROF. WEST (O.S.),,,,,,,,
                    I've been trying to reach you!,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. LIVING ROOM/SATNAM'S HOUSE - NIGHT,,,,,,,,
          ,,,,,,,,
          Prof. West is on the phone. In the background we make out,,,,,,,,
          Satnam's family around the dining room table.,,,,,,,,
          ,,,,,,,,
                                     PROF. WEST,,,,,,,,
"                    Listen, Adrian. The situation is much",,,,,,,,
                    worse than we thought...,,,,,,,,
          ,,,,,,,,
          Satnam quiets his little son. It is the boy we saw earlier,,,,,,,,
          with his toy ship.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. HALLWAY/WHITE HOUSE - DAY,,,,,,,,
          ,,,,,,,,
"          Adrian follows Anheuser through a hallway of the White House,",,,,,,,,
          papers in hand.,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
"                    Sir, the President needs to know this.",,,,,,,,
          ,,,,,,,,
                                     ANHEUSER,,,,,,,,
"                    Helmsley, how long have you been on the",,,,,,,,
                    job as science advisor?,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    Four months this week.,,,,,,,,
          ,,,,,,,,
                                       ANHEUSER,,,,,,,,
                    I would   say that's enough time to learn,,,,,,,,
                    that we   have rules here. You'll just,,,,,,,,
                    have to   wait until the quarterly,,,,,,,,
                    science   briefing.,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    If this is about what I said last,,,,,,,,
"                    night, I am truly sorry, sir.",,,,,,,,
          ,,,,,,,,
                                     ANHEUSER,,,,,,,,
                    So you didn't like my speech?,,,,,,,,
          ,,,,,,,,
"          Exasperated, Adrian holds out the papers to him.",,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
"                    Can you please have a look at this,",,,,,,,,
                    sir? It's really important.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                                                (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                       5.,,,,,,,,
          ,,,,,,,,
"          Finally, Anheuser rips the papers out of his hands and starts",,,,,,,,
"          to walk away, reading.",,,,,,,,
          ,,,,,,,,
          Suddenly he slows down.,,,,,,,,
          ,,,,,,,,
                                      ANHEUSER,,,,,,,,
                    Who wrote this?,,,,,,,,
          ,,,,,,,,
                                     ADRIAN,,,,,,,,
                    An Indian astrophysicist I graduated,,,,,,,,
"                    with from Harvard and Prof. West, the",,,,,,,,
                    preeminent geologist in the US.,,,,,,,,
          ,,,,,,,,
                                     ANHEUSER,,,,,,,,
                    Who else knows about it?,,,,,,,,
          ,,,,,,,,
                                      ADRIAN,,,,,,,,
"                    No one, sir.",,,,,,,,
          ,,,,,,,,
                                     ANHEUSER,,,,,,,,
"                    Let's keep it that way, Helmsley.",,,,,,,,
          ,,,,,,,,
          Anheuser walks away.,,,,,,,,
          ,,,,,,,,
                                                            FADE TO BLACK,,,,,,,,
          ,,,,,,,,
                                      2010,,,,,,,,
          ,,,,,,,,
                                                                 FADE UP,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. SEVILLE/SPAIN - DAY,,,,,,,,
          ,,,,,,,,
          G8 Summit. Riot police control the unruly crowd with water,,,,,,,,
          cannons.,,,,,,,,
          ,,,,,,,,
          We see PROTESTERS with Anti Globalization signs behind a,,,,,,,,
          fence. A convoy of limousines is approaching a historic,,,,,,,,
          building.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. BIG HALL/ALHAMBRA - DAY,,,,,,,,
          ,,,,,,,,
"          We follow the American delegation into the conference room,",,,,,,,,
          where the other G8 delegations are seated around an enormous,,,,,,,,
          table.,,,,,,,,
          ,,,,,,,,
"          The President of the United States, THOMAS F. WILSON, 56,",,,,,,,,
          doesn't sit down. He addresses the room and everybody goes,,,,,,,,
          quiet.,,,,,,,,
          ,,,,,,,,
                                      PRESIDENT WILSON (O.S.),,,,,,,,
                    Good Morning...,,,,,,,,
          ,,,,,,,,
          For the first time we see the President's face. He is African-,,,,,,,,
          American.,,,,,,,,
                                                             (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                      6.,,,,,,,,
          ,,,,,,,,
                                     PRESIDENT WILSON (CONT'D),,,,,,,,
                    I hereby present a motion to meet,,,,,,,,
                    privately with my seven fellow Heads of,,,,,,,,
"                    State, kindly excluding the rest of the",,,,,,,,
                    delegates.,,,,,,,,
          ,,,,,,,,
"          A murmur erupts. The Russian President SERGEY MAKARENKO, 62,",,,,,,,,
          whispers to one of his interpreters.,,,,,,,,
          ,,,,,,,,
                                     RUSSIAN INTERPRETER,,,,,,,,
                    Mr. Makarenko wishes to have his,,,,,,,,
                    interpreters present.,,,,,,,,
          ,,,,,,,,
          President Wilson looks over to the Russian Colleague.,,,,,,,,
          ,,,,,,,,
                                     PRESIDENT WILSON,,,,,,,,
"                    Mr. President, judging from the",,,,,,,,
"                    conversations we've had in the past, I",,,,,,,,
"                    can assure you, your English is",,,,,,,,
"                    absolutely fine, for what I have to",,,,,,,,
                    say.,,,,,,,,
          ,,,,,,,,
"          As the Russian President waves his interpreter away, all the",,,,,,,,
          international delegates leave as well.,,,,,,,,
          ,,,,,,,,
          The huge doors of the hall close. A secret service officer in,,,,,,,,
          the sound booth switches off the recording equipment to the,,,,,,,,
          chamber.,,,,,,,,
          ,,,,,,,,
          The President gathers himself.,,,,,,,,
          ,,,,,,,,
                                     PRESIDENT WILSON (CONT'D),,,,,,,,
                    Six months ago I was made aware of a,,,,,,,,
"                    situation so devastating, that at",,,,,,,,
"                    first, I refused to believe it.",,,,,,,,
                            (PAUSE),,,,,,,,
                    However through the concerted efforts,,,,,,,,
                    of the brightest scientists of several,,,,,,,,
"                    nations, we have now confirmed its",,,,,,,,
                    validity.,,,,,,,,
          ,,,,,,,,
          Dead silence.,,,,,,,,
          ,,,,,,,,
                                     PRESIDENT WILSON (CONT'D),,,,,,,,
"                    The world as we know it, will soon come",,,,,,,,
                    to an end.,,,,,,,,
          ,,,,,,,,
                                                                  CUT TO:,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. CHO MING VALLEY/TIBET - DAWN,,,,,,,,
          ,,,,,,,,
          A huge Chinese military helicopter blasts through a majestic,,,,,,,,
          mountain valley in Tibet. We are at the top of the world.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                                             (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                        7.,,,,,,,,
          ,,,,,,,,
"          A Chinese COLONEL, wearing dark sun glasses, watches from the",,,,,,,,
          chopper as the army forces the evacuation of the villages and,,,,,,,,
          monasteries.,,,,,,,,
          ,,,,,,,,
                                     VOICE (O.S.),,,,,,,,
                            (in Chinese),,,,,,,,
"                    You will have new houses, electricity",,,,,,,,
                    and running water...,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. VILLAGE/TIBET - DAY,,,,,,,,
          ,,,,,,,,
          Someone speaks on a megaphone in the village square as,,,,,,,,
          villagers are evicted by soldiers and herded into trucks.,,,,,,,,
          ,,,,,,,,
                                     VOICE (O.S.),,,,,,,,
                    ... Some among you will even have the,,,,,,,,
                    chance to work for the glorious,,,,,,,,
                    People's Republic of China building the,,,,,,,,
                    biggest dam project in the world...,,,,,,,,
          ,,,,,,,,
"          NENG PANG, a young monk, 18, is loaded into a truck together",,,,,,,,
"          with his PARENTS, both in their 60's.",,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          EXT. SCHOOL/TIBET - DAY,,,,,,,,
          ,,,,,,,,
"          Neng's older brother, LIN PANG, 25, is part of a huge crowd",,,,,,,,
          of young men and women staying behind by a Tibetan school,,,,,,,,
          building. He turns and yells after the truck.,,,,,,,,
          ,,,,,,,,
                                     LIN,,,,,,,,
                    I will send you money mother.,,,,,,,,
          ,,,,,,,,
"          The Colonel with the dark glasses steps up, addressing the",,,,,,,,
          masses.,,,,,,,,
          ,,,,,,,,
                                     COLONEL,,,,,,,,
                    Who can read and write?,,,,,,,,
          ,,,,,,,,
          Eager hands fly up in the air. An official makes notes.,,,,,,,,
          ,,,,,,,,
                                     COLONEL (CONT'D),,,,,,,,
                    Who can weld?,,,,,,,,
          ,,,,,,,,
          Lin's hand shoots up in the air. We hear a siren echoing,,,,,,,,
          through the mountains and suddenly an explosion. Lin turns.,,,,,,,,
          ,,,,,,,,
"          In the BACKGROUND, a series of explosions punch enormous",,,,,,,,
"          holes into the side of the mountain, showering rock",,,,,,,,
          everywhere.,,,,,,,,
          ,,,,,,,,
                                                            FADE TO BLACK,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
                                                              (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                        8.,,,,,,,,
          ,,,,,,,,
                                      2011,,,,,,,,
          ,,,,,,,,
                                                                 FADE UP,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. DORCHESTER HOTEL/LONDON - DAY,,,,,,,,
          ,,,,,,,,
          A MAN in a dark suit walks through a hallway of the,,,,,,,,
          Dorchester looking like your typical MI-6 agent. The decor is,,,,,,,,
          plush and luxurious. He's stopped by two security men who,,,,,,,,
          frisk him.,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. PRESIDENTIAL SUITE/DORCHESTER HOTEL - DAY,,,,,,,,
          ,,,,,,,,
          Heavily ringed fingers flip through a folder.,,,,,,,,
          ,,,,,,,,
                                     MI-6 OFFICER (O.S.),,,,,,,,
                    Has his Highness had the opportunity to,,,,,,,,
                    study the dossier?,,,,,,,,
          ,,,,,,,,
          A SAUDI PRINCE looks up and nods without expression.,,,,,,,,
          ,,,,,,,,
                                     SAUDI PRINCE,,,,,,,,
                    You must understand I have a very big,,,,,,,,
                    family. Mister...,,,,,,,,
          ,,,,,,,,
                                      MI-6 OFFICER,,,,,,,,
                    Isaacs.,,,,,,,,
          ,,,,,,,,
                                     SAUDI PRINCE,,,,,,,,
"                    Mister Isaacs, one billion dollars is a",,,,,,,,
                    lot of money.,,,,,,,,
          ,,,,,,,,
                                     MI-6 OFFICER,,,,,,,,
"                    I'm afraid the amount is in Euros, your",,,,,,,,
                    Highness.,,,,,,,,
          ,,,,,,,,
                                                                 CUT TO:,,,,,,,,
          ,,,,,,,,
          ,,,,,,,,
          INT. LOUVRE/PARIS - NIGHT,,,,,,,,
          ,,,,,,,,
          A group of dark figures in overalls walk past famous,,,,,,,,
          Renaissance paintings. They stop at the Mona Lisa.,,,,,,,,
          ,,,,,,,,
"          MANFRED PICARD, 63, head of the French National Museums,",,,,,,,,
"          stands by LAURA, a young African-American woman in her late",,,,,,,,
          20's. They observe the specialists opening the case of the,,,,,,,,
          famous painting.,,,,,,,,
          ,,,,,,,,
          A whoosh of air as the vacuum seal breaks.,,,,,,,,
          ,,,,,,,,
                                     MANFRED PICARD,,,,,,,,
"                    Laura, I'm putting a lot of trust in",,,,,,,,
                    your people.,,,,,,,,
                                                              (CONTINUED),,,,,,,,
          ,,,,,,,,
                                                                        9.,,,,,,,,
          ,,,,,,,,
          Laura answers in almost perfect French.,,,,,,,,
          ,,,,,,,,
                                     LAURA,,,,,,,,
                    There are too many crazy people who,,,,,,,,
"                    could hurt her, Manfred. The World",,,,,,,,
                    Heritage Foundation has done this all,,,,,,,,
                    over the world.,,,,,,,,
          ,,,,,,,,
          In the BACKGROUND the Mona Lisa is taken off the wall and,,,,,,,,
          replaced with a perfect replica. Picard still looks uneasy.,,,,,,,,
          He watches as the real Mona Lisa is sealed into an airtight,,,,,,,,
