,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
BATEMAN ,,,,,,,,
I don't want to talk about it.,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
"Well, you hate that job anyway. Why don't you just ",,,,,,,,
quit? You don't have to work.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Because I...want...to...fit...in.,,,,,,,,
,,,,,,,,
The taxi bumps to a halt.,,,,,,,,
,,,,,,,,
INT. ESPACE RESTAURANT- NIGHT ,,,,,,,,
,,,,,,,,
"A cavernous garage, harshly spot-lit, decorated in ",,,,,,,,
"self-conscious brutalist chic. Iron girders, walls of waxed ",,,,,,,,
"plaster featuring exposed rusted pipes, a huge Schnabel ",,,,,,,,
smashed-plate painting on one wall. The tables and chairs are ,,,,,,,,
made of extremely uncomfortable ,,,,,,,,
bolted steel.,,,,,,,,
,,,,,,,,
BATEMAN (V.O.) ,,,,,,,,
I'm on the verge of tears by the time we arrive at Espace ,,,,,,,,
"since I'm positive we won't have a decent table, but we do, ",,,,,,,,
and relief washes over me in an awesome wave.,,,,,,,,
,,,,,,,,
"Tm Price and two downtown types, STASH and VANDEN, are ",,,,,,,,
"already seated. Vanden is about twenty, pretty and sullen, ",,,,,,,,
"with green streaks in her black hair. Stash is pale, with ",,,,,,,,
ragged black hair and bad skin.,,,,,,,,
,,,,,,,,
They are all trying to read large stainless steel menus ,,,,,,,,
that look like minimalist art.,,,,,,,,
,,,,,,,,
PRICE ,,,,,,,,
The menu's in braille.,,,,,,,,
,,,,,,,,
"He gets up to greet them, giving Evelyn a suspiciously long ",,,,,,,,
kiss.,,,,,,,,
,,,,,,,,
PRICE ,,,,,,,,
I have to talk to you.,,,,,,,,
,,,,,,,,
"He drags her away, half giggling and protesting.",,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
(Over her shoulder) ,,,,,,,,
"Pat, this is my cousin Vanden ",,,,,,,,
and her boyfriend Stash. He's an artist.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
(After smiling at his own reflection in the mirror and ,,,,,,,,
checking his hair) ,,,,,,,,
Hi. Pat Bateman.,,,,,,,,
,,,,,,,,
"Vanden takes his hand reluctantly, says nothing.",,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Let me guess-you live in the East Village?,,,,,,,,
,,,,,,,,
Pause.,,,,,,,,
,,,,,,,,
STASH ,,,,,,,,
SoHo.,,,,,,,,
,,,,,,,,
COURTNEY RAWLINSON and LUIS CARRUTHERS arrive at the table. ,,,,,,,,
"Courtney is blonde, classically beautiful and from ",,,,,,,,
"precisely the same social background as Evelyn, but she is ",,,,,,,,
considerably more fragile and neurotic. Luis is ,,,,,,,,
"half-English, half-Argentinean, slightly overweight (a ",,,,,,,,
"rarity in this crowd), puppyish and eager to please. He ",,,,,,,,
wears the same type of designer clothes as Price and ,,,,,,,,
"Bateman, but with foppish tendencies: velvet jackets, ",,,,,,,,
"bow-ties, boldly patterned vests.",,,,,,,,
,,,,,,,,
"They exchange air kisses. As soon as Luis turns his back, ",,,,,,,,
Bateman sneaks a kiss on Courtney's neck.,,,,,,,,
,,,,,,,,
COURTNEY ,,,,,,,,
(Whispering) ,,,,,,,,
Stop it!,,,,,,,,
,,,,,,,,
Stash and Vanden watch them in silence.,,,,,,,,
,,,,,,,,
LATER:,,,,,,,,
,,,,,,,,
Price is whispering in Evelyn's ear. Everyone else is ,,,,,,,,
"quietly eating, except Bateman, who is drinking and watching ",,,,,,,,
Evelyn and Price.,,,,,,,,
,,,,,,,,
BATEMAN (V.O.),,,,,,,,
I am fairly sure that Timothy and Evelyn ,,,,,,,,
are having an affair. Timothy is the only interesting,,,,,,,,
person I know. Courtney is almost perfect looking. She s ,,,,,,,,
usually operating on one or more psychiatric drugs. Tonight ,,,,,,,,
"I believe it's Xanax. More disturbing than her drug use, ",,,,,,,,
"though, is the fact that she's engaged to Luis Carruthers, ",,,,,,,,
the biggest dufus in the business.,,,,,,,,
,,,,,,,,
Courtney rouses herself from her drug haze.,,,,,,,,
,,,,,,,,
COURTNEY,,,,,,,,
Tell me. Stash...do you think SoHo is ,,,,,,,,
becoming to...commercial?,,,,,,,,
,,,,,,,,
CARRUTHERS ,,,,,,,,
"Yes, I read that.",,,,,,,,
,,,,,,,,
PRICE ,,,,,,,,
"Oh, who gives a rat's ass?",,,,,,,,
,,,,,,,,
VANDEN ,,,,,,,,
Hey. That affects us.,,,,,,,,
,,,,,,,,
PRICE ,,,,,,,,
(Wired on coke) ,,,,,,,,
Oh ho ho. That affects us? What ,,,,,,,,
"about the massacres in Sri Lanka, honey? Doesn't that ",,,,,,,,
"affect us, too? I mean don't you know anything about Sri ",,,,,,,,
Lanka? About how the Sikhs are killing like tons of ,,,,,,,,
Israelis there? Doesn't that affect us?,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Oh come on. Price. There are a lot more important ,,,,,,,,
problems than Sri Lanka to worry about. Sure our foreign ,,,,,,,,
"policy is important, but there are more pressing problems ",,,,,,,,
at hand.,,,,,,,,
,,,,,,,,
PRICE ,,,,,,,,
Like what?,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
"Well, we have to end apartheid for one. And slow ",,,,,,,,
"down the nuclear arms race, stop terrorism and world ",,,,,,,,
hunger. But we can't ignore our social needs. either We ,,,,,,,,
have to stop people from abusing the welfare system. We ,,,,,,,,
have to provide food and shelter for the homeless and ,,,,,,,,
oppose racial discrimination and promote civil rights while ,,,,,,,,
also promoting equal rights for women but change the ,,,,,,,,
abortion laws to protect the right to life yet still ,,,,,,,,
somehow maintain women's freedom of choice.,,,,,,,,
,,,,,,,,
The table stares at Bateman uncomfortably.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
We also have to control the influx of illegal ,,,,,,,,
immigrants. We have to encourage a return to traditional ,,,,,,,,
"moral values and curb graphic sex and violence on TV, in ",,,,,,,,
"movies, in pop music, everywhere. Most importantly we have ",,,,,,,,
to promote general social concern and less materialism in ,,,,,,,,
young people.,,,,,,,,
,,,,,,,,
Price chokes on his drink. Everyone is silent and ,,,,,,,,
mystified.,,,,,,,,
,,,,,,,,
CARRUTHERS ,,,,,,,,
"Patrick, how thought-provoking.",,,,,,,,
,,,,,,,,
INT. EVELYN'S BEDROOM - LATER THE SAME EVENING ,,,,,,,,
,,,,,,,,
Bateman and Evelyn are lying on her bed watching television.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Why don t you just go for Price?,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
"Oh God, Patrick. Why Price? Price?",,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
He's rich.,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
Everybody's rich.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
He's good-looking.,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
"Everybody's good-looking, Patrick.",,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
He has a great body,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
Everybody has a great body now.,,,,,,,,
,,,,,,,,
Bateman unbuttons his shirt and makes advances to get ,,,,,,,,
"Evelyn to have sex with him. She ignores him, watching the ",,,,,,,,
"Home Shopping Channel with the remote in her hand. Finally, ",,,,,,,,
"he straddles her, penis close to her face. She tries to ",,,,,,,,
"look around him at the TV, then takes notice.",,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
"What do you want to do with that, floss with it?",,,,,,,,
,,,,,,,,
Bateman flops back down beside her and stares at the television.,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
Are you using minoxidil?,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
No. I'm not. Why should I ?,,,,,,,,
,,,,,,,,
EVELYN ,,,,,,,,
Your hairline looks like it's receding.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
It's not.,,,,,,,,
,,,,,,,,
EXT. STREET - LATER THAT NIGHT ,,,,,,,,
,,,,,,,,
"It is 3 a.m. Bateman is standing at an ATM, listening to the ",,,,,,,,
comforting sound of fresh bills thudding out of the machine. ,,,,,,,,
Bateman turns around and watches a solitary young woman walk ,,,,,,,,
"past him. He collects his money, placing it carefully in his ",,,,,,,,
"wallet, and then walks toward her, whistling. He catches up ",,,,,,,,
to her as she pauses at a red light.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Hello.,,,,,,,,
,,,,,,,,
"The woman looks suspicious for a moment and then, seeing ",,,,,,,,
"his smile, smiles back.",,,,,,,,
,,,,,,,,
INT. DRY CLEANERS - DAY ,,,,,,,,
,,,,,,,,
"Bateman, dressed in an Armani suit ",,,,,,,,
with an unlit cigar between his teeth is standing in a dry ,,,,,,,,
"cleaners, arguing with the Chinese woman behind the ",,,,,,,,
counter.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
"Listen, wait. You're not...shhh wait...",,,,,,,,
you're not giving me valid reasons.,,,,,,,,
,,,,,,,,
"The woman continues to speak to him in another language, ",,,,,,,,
grabbing at the sleeve of the jacket.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
What are you trying to say to me?,,,,,,,,
,,,,,,,,
Her husband has taken Bateman's horribly bloodstained ,,,,,,,,
sheets out of the bag and is staring at them.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Bleach-ee? Are you trying to say bleach-ee? ,,,,,,,,
Bleach-ee. Oh my God.,,,,,,,,
,,,,,,,,
She keeps pointing to the jacket and talking.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
(Talking over her) ,,,,,,,,
Two things. One. You can't bleach a Soprani. Out of the question. ,,,,,,,,
Two.,,,,,,,,
(Louder) ,,,,,,,,
Two. I can only get these sheets in Santa Fe. These are very ,,,,,,,,
expensive sheets and I really need them clean.,,,,,,,,
,,,,,,,,
She keeps talking and Bateman leans into her.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
If you don't shut your fucking mouth I will kill ,,,,,,,,
"you, are you understanding me?",,,,,,,,
,,,,,,,,
She talks faster.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Now listen-I have a very important lunch meeting ,,,,,,,,
(Checks Rolex) ,,,,,,,,
"at Hubert's in thirty minutes, and I need those ",,,,,,,,
"...no wait, twenty minutes. I have a lunch meeting at ",,,,,,,,
Hubert's in twenty minutes with Ronald Harrison and I need ,,,,,,,,
those sheets cleaned by this afternoon.,,,,,,,,
