,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
,,,,,,,,
She keeps talking.,,,,,,,,
,,,,,,,,
BATEMAN Listen. I cannot understand you.,,,,,,,,
,,,,,,,,
"Bateman starts laughing, slaps his hand down on the ",,,,,,,,
counter.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
This is crazy. You're a fool. I can't cope with ,,,,,,,,
this.,,,,,,,,
,,,,,,,,
Bateman is on the verge of tears.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Stupid bitchee! Understand? Oh Christ!,,,,,,,,
,,,,,,,,
"Someone enters the store behind him. It's VICTORIA, ",,,,,,,,
"late-twenties, attractive but a little overweight, wearing a ",,,,,,,,
tailored business suit with white sneakers and sports socks.,,,,,,,,
,,,,,,,,
VICTORIA ,,,,,,,,
Patrick?,,,,,,,,
,,,,,,,,
She takes off her sunglasses.,,,,,,,,
,,,,,,,,
VICTORIA ,,,,,,,,
"Hi, Patrick. I thought that was you.",,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Hello ,,,,,,,,
(Mumbles un incomprehensible name),,,,,,,,
,,,,,,,,
Awkward pause.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Well.,,,,,,,,
,,,,,,,,
VICTORIA ,,,,,,,,
"Isn't it ridiculous? Coming all the way up here, ",,,,,,,,
but you,,,,,,,,
know. They really are the best.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
Then why can't they get these stains out? I mean can you talk ,,,,,,,,
to these people or something? I'm not getting anywhere.,,,,,,,,
,,,,,,,,
Victoria moves toward the sheet that the old man is holding ,,,,,,,,
up. She,,,,,,,,
touches it and the woman behind the counter begins talking ,,,,,,,,
again.,,,,,,,,
,,,,,,,,
VICTORIA ,,,,,,,,
"Oh my, I see. What are those? Oh my.",,,,,,,,
BATEMAN ,,,,,,,,
"Um, well...it s cranberry juice. Cranapple.",,,,,,,,
,,,,,,,,
VICTORiA ,,,,,,,,
(Skeptically) Really?,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
"Well, I mean, um, it s really...Bosco. You ",,,,,,,,
"know, like...",,,,,,,,
like a Dove Bar. It's a Dove Bar...Hershey's Syrup?,,,,,,,,
,,,,,,,,
VICTORIA ,,,,,,,,
(As if sharing a secret joke) Oh yeah. Oh I get it. ,,,,,,,,
Fun with chocolate.,,,,,,,,
,,,,,,,,
BATEMAN ,,,,,,,,
"Listen, if you could talk to them ",,,,,,,,
