,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
          music transitions: Whatever hip-hop featuring a 60s sample,,,,,,,,
          was playing in the Apple store -- now continues as the 60s,,,,,,,,
"          song itself, played over a tinny portable radio.",,,,,,,,
          He hops up just as a young white office worker comes out of,,,,,,,,
"          one of the stalls, washes his hands... and flips Jay a",,,,,,,,
          quarter.,,,,,,,,
"          Jay stares at it a beat, confused. Misreading his confusion,",,,,,,,,
          the office worker awkwardly digs out another quarter.,,,,,,,,
,,,,,,,,
                         OFFICE WORKER,,,,,,,,
"          What the heck, you're doing a great",,,,,,,,
          job.,,,,,,,,
          The kid leaves.,,,,,,,,
          Jay ventures out of the bathroom and finds himself in...,,,,,,,,
,,,,,,,,
          INT. HIGH 60'S OFFICE,,,,,,,,
,,,,,,,,
          White guys on IBM Selectric typewriters as far as the eye can,,,,,,,,
          see -- like the office in the Apartment.,,,,,,,,
"          Jay stops in his tracks, taking in the 1969-ness of it all.",,,,,,,,
"          An officious guy, annoyed, runs up--",,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          30.,,,,,,,,
,,,,,,,,
                         OFFICIOUS GUY,,,,,,,,
          You're late! Where's Mr. Watkins',,,,,,,,
          lunch?,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
,,,,,,,,
                         OH--,,,,,,,,
,,,,,,,,
                         OFFICIOUS GUY,,,,,,,,
          Did his girl not put in the order?,,,,,,,,
"          The officious guy glares at the ""girl"" -- in her 60s.",,,,,,,,
,,,,,,,,
          OFFICIOUS GUY (CONT'D),,,,,,,,
          (shoves a bill in Jay's,,,,,,,,
,,,,,,,,
                         HAND),,,,,,,,
          Run down to Woolworth's -- Two,,,,,,,,
"          hamburger sandwiches, fries, egg",,,,,,,,
"          cream, and a pack of luckies. If",,,,,,,,
"          you're back in half an hour, you",,,,,,,,
          can keep the change.,,,,,,,,
          Jay looks at the SINGLE DOLLAR BILL.,,,,,,,,
,,,,,,,,
          OFFICIOUS GUY (CONT'D),,,,,,,,
"          On the double, OK?",,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
          Yeah.,,,,,,,,
"          Jay's moves to the elevator, waits for it. Pockets the",,,,,,,,
          profits of the racist misunderstandings.,,,,,,,,
"          Elevator opens, the elevator operator opens the door -- Jay",,,,,,,,
          climbs in with a car full of older executives.,,,,,,,,
"          Jay shakes his head, just taking this all in.",,,,,,,,
,,,,,,,,
                          JAY (CONT'D),,,,,,,,
          Wow. 1969. You're all dead now.,,,,,,,,
"          Just as the elevator's about to close, a leggy blonde tosses",,,,,,,,
          him a set of keys.,,,,,,,,
,,,,,,,,
                         BLONDE,,,,,,,,
          The Big Man wants his caddy. Chop-,,,,,,,,
          chop.,,,,,,,,
          The doors close.,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          31.,,,,,,,,
,,,,,,,,
          EXT. PARKING LOT NEXT DOOR,,,,,,,,
,,,,,,,,
"          Jay's got the keys. He looks at the parking tag, walks down",,,,,,,,
"          a row of beautiful classic cars, looking for the right car --",,,,,,,,
          stops and smiles.,,,,,,,,
,,,,,,,,
          THE BIG MAN'S CADDY - JAY DRIVING,,,,,,,,
          Reveal Jay cruising in the most gorgeous 1964 Coupe deVille,,,,,,,,
"          convertible. Fins, chrome, a thing of beauty.",,,,,,,,
"          From the seat next to him -- a fedora. He puts it on,",,,,,,,,
          completing the look.,,,,,,,,
          In the background we notice the Leggy Blond getting yelled at,,,,,,,,
"          by the guy who must be ""The Big Man"" Jay HONKS and waves --",,,,,,,,
          thank you!,,,,,,,,
          Jay finds some classic 60s music and enjoys himself for a,,,,,,,,
          minute -- a sweet ride through 60s New York.,,,,,,,,
"          A GREAT 1969 HIT -- THE TEMPTATIONS' ""Can't Get Next to You""",,,,,,,,
          comes on the radio. Jay is swept up in the music and soon is,,,,,,,,
,,,,,,,,
          SINGING ALONG AT FULL BLAST.,,,,,,,,
"          At a light, he pulls even with an older Brooklyn Italian",,,,,,,,
          couple. They give him a disapproving look. The woman,,,,,,,,
          clutches her pearls just a little more protectively.,,,,,,,,
          He smiles and leans towards them.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
          Guess what? Black president!,,,,,,,,
          He laughs and drives off.,,,,,,,,
          Pulls up at...,,,,,,,,
,,,,,,,,
          EXT. MIB HQ ENTRANCE/VENTILATION BUILDING,,,,,,,,
,,,,,,,,
"          The secret entrance to MiB HQ, familiar from the first movie.",,,,,,,,
          Jay strides up to the entrance and... can't open the door.,,,,,,,,
"          Bangs on the door -- nothing. Shaking the knob, calling to",,,,,,,,
          the guard... nothing. From behind him:,,,,,,,,
,,,,,,,,
          VOICE (O.S.),,,,,,,,
          Help you? Look a little lost.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Yeah, thanks, listen--",,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          32.,,,,,,,,
          Jay turns and is face-to-face with two grinning Staten Island,,,,,,,,
          cops. He instantly realizes what's about to go down.,,,,,,,,
,,,,,,,,
                         JAY (CONT'D),,,,,,,,
,,,,,,,,
                         (SIGHS),,,,,,,,
"          Yeah, guess I knew this wasn't",,,,,,,,
          gonna be just people handing me,,,,,,,,
          money and Cadillacs.,,,,,,,,
,,,,,,,,
                         COP 1,,,,,,,,
          'Scuse me?,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Nothing, officer. I'll be on my",,,,,,,,
          way.,,,,,,,,
,,,,,,,,
                         COP 2,,,,,,,,
          That's an awful nice car.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
          Thanks.,,,,,,,,
,,,,,,,,
                         COP 1,,,,,,,,
"          Kind of work you do, individual of",,,,,,,,
          your particular... ethnic,,,,,,,,
          persuasion... to buy a car like,,,,,,,,
          that?,,,,,,,,
,,,,,,,,
                         COP 2,,,,,,,,
"          Wouldn't be anything illegal, would",,,,,,,,
          it?,,,,,,,,
,,,,,,,,
                         COP 1,,,,,,,,
          You an athlete or something?,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Yeah, I'm the North American",,,,,,,,
          champion of kiss my ass.,,,,,,,,
"          The cop loses his smile, turns to his partner:",,,,,,,,
,,,,,,,,
                         COP 1,,,,,,,,
          That sound like resisting arrest to,,,,,,,,
          you?,,,,,,,,
,,,,,,,,
                         COP 2,,,,,,,,
          Sure did.,,,,,,,,
"          They grab him, start to frisk him --",,,,,,,,
,,,,,,,,
                         COP 2 (CONT'D),,,,,,,,
"          Well, well. Boy, you're gonna have",,,,,,,,
          a little problem explaining THIS.,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          33.,,,,,,,,
          The cop holds up Jay's HIGH-TECH GUN -- the NOISY CRICKET,,,,,,,,
          and his NEURALIZER.,,,,,,,,
          A BLACK CROWN VIC SCREECHES UP between the cops and JAY.,,,,,,,,
          Out steps KAY -- but 40+ years younger.,,,,,,,,
,,,,,,,,
                         KAY,,,,,,,,
          (flashes a badge),,,,,,,,
          I'll take it from here.,,,,,,,,
,,,,,,,,
                         COP,,,,,,,,
          Who the hell are you?,,,,,,,,
,,,,,,,,
                         KAY,,,,,,,,
"          Agent Kay, Division 2, special...",,,,,,,,
          (gives Jay a look),,,,,,,,
          .black ops. Thank you for your,,,,,,,,
"          cooperation, if I could ask you to",,,,,,,,
          look here for a moment --,,,,,,,,
          Kay pulls out what looks like a NEURALIZER -- and swiftly,,,,,,,,
          beats each one over the head -- it's just a BLACKJACK -- they,,,,,,,,
          crumple.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Kay? Kay, is that you? Oh, man",,,,,,,,
"          it's good to see you, buddy!",,,,,,,,
          Jay hugs Kay -- who remains stony-faced. Jay gets a little,,,,,,,,
          choked up to see his friend alive -- Kay is a rock.,,,,,,,,
,,,,,,,,
                         JAY (CONT'D),,,,,,,,
"          Look at you, all... sort-of-",,,,,,,,
          young... Kay!,,,,,,,,
