,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          27.,,,,,,,,
,,,,,,,,
                         JAY (CONT'D),,,,,,,,
          Where is it??,,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
"          Okay, okay, I'll show you. But",,,,,,,,
          this is incredibly powerful,,,,,,,,
"          technology, so it must remain",,,,,,,,
          absolutely secret. Follow me.,,,,,,,,
          Trevor LEAVES HIS POST --- Jay follows:,,,,,,,,
,,,,,,,,
                         TREVOR (CONT'D),,,,,,,,
"          Absolutely secret, do you",,,,,,,,
          understand?,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Yes, but we're running out of time--",,,,,,,,
,,,,,,,,
          AFFLUENT WESTSIDE MOM,,,,,,,,
          Hey! Excuse me!,,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
"          With you in a second, ma'am.",,,,,,,,
,,,,,,,,
          AFFLUENT WESTSIDE MOM,,,,,,,,
"          It'll only take a minute. You see,",,,,,,,,
          my nanny's phone number got erased,,,,,,,,
          from my favorites and I have to ask,,,,,,,,
          her what my daughter wants for her,,,,,,,,
          birthday.,,,,,,,,
          Jay takes the phone.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Oh, I see the problem.",,,,,,,,
"          He CHUCKS THE PHONE across the store, where it SMASHES TO",,,,,,,,
          PIECES. She leaves in a huff.,,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
          I've always wanted to do that.,,,,,,,,
"          okay, so here's what you do...",,,,,,,,
"          Trevor pulls Jay in, ready to lay this top secret information",,,,,,,,
          on him...,,,,,,,,
,,,,,,,,
                         TREVOR (CONT'D),,,,,,,,
"          Okay, so go to the clock app. And",,,,,,,,
          shake it.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
          That's it?,,,,,,,,
          Jay does it.,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          28.,,,,,,,,
          On the phone -- TIME TRAVEL BETA,,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
          Now you just type in the year you,,,,,,,,
          want to travel to...,,,,,,,,
"          On the phone -- it's ""augmented reality"" -- the image through",,,,,,,,
          the phone is the image of the targeted time period.,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Okay, thanks.",,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
          Now listen. This is highly,,,,,,,,
          crucial: Time travel is nothing to,,,,,,,,
          mess with. You can't change,,,,,,,,
"          anything, you can't use new",,,,,,,,
          technology or all of space-time can,,,,,,,,
          just -- kablooey!,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
,,,,,,,,
                         (OFF MISSILES),,,,,,,,
"          Yeah, well, is it ok if I change",,,,,,,,
,,,,,,,,
          THAT?,,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
"          Yeah. Right. Yeah, that's cool.",,,,,,,,
"          Jay is about to ""enter"" time travel...",,,,,,,,
,,,,,,,,
                         TREVOR (CONT'D),,,,,,,,
          Wait -- hold on a second. If you,,,,,,,,
          go -- I'm just gonna stay... and be,,,,,,,,
          dead?,,,,,,,,
,,,,,,,,
                         JAY,,,,,,,,
"          Don't worry, I'll fix it. You'll",,,,,,,,
          only be dead for a little while.,,,,,,,,
          Jay DISSOLVES INTO A TIME TRAVEL EFFECT...,,,,,,,,
          Cera is left alone. The missiles get EVER CLOSER...,,,,,,,,
"          Trevor opens a ""Voice Recorder"" app:",,,,,,,,
,,,,,,,,
                         TREVOR,,,,,,,,
,,,,,,,,
                         (INTO PHONE),,,,,,,,
          Trevor's last words. Dear,,,,,,,,
          posterity... Should anyone find,,,,,,,,
"          this, let history remember that",,,,,,,,
"          Trevor was a man of noble bearing,",,,,,,,,
          quiet dignity --,,,,,,,,
,,,,,,,,
          (IMPACT!),,,,,,,,
,,,,,,,,
                         OH FUUUUUU-----,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
                         ,,,,,,,,
,,,,,,,,
          29.,,,,,,,,
          And the world is vapor.,,,,,,,,
,,,,,,,,
          EVERYTHING GOES WHITE...,,,,,,,,
,,,,,,,,
                         WHITE,,,,,,,,
          Pure white.,,,,,,,,
"          Jay comes to, groggy, like he has the worst hangover of all",,,,,,,,
"          time, brain bigger than his skull, trying to make his eyes",,,,,,,,
          focus.,,,,,,,,
          Trying to make sense of his strange blinding white,,,,,,,,
          environment -- Is this the afterlife?,,,,,,,,
          The reverie disrupted by a TOILET FLUSH,,,,,,,,
          The white resolves into,,,,,,,,
,,,,,,,,
          INT. BATHROOM,,,,,,,,
,,,,,,,,
"          Jay realizes he's in a men's room, sitting in a urinal. The",,,,,,,,
