,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
                            Pink Revised      21st May 2008               74.,,,,,,,,
66   CONTINUED:                                                                66,,,,,,,,
                              COLIN (CONT'D),,,,,,,,
"                  (shows it to us) ... Blue, of course!...",,,,,,,,
                  Wha t' s i n th is bo x? (o pe ns a sm al l,,,,,,,,
"                  box)... Oh, it's cake! Bit of cake! Still",,,,,,,,
                  all right. . still moist - you could eat,,,,,,,,
                  that!... (looks at it intently... then,,,,,,,,
                  returns it to the drawer. Now his eye,,,,,,,,
                  catches something inside and slowly he,,,,,,,,
"                  reaches in ... gently extracts a fancy,",,,,,,,,
"                  pearl handled, gleaming, 12"" knife.)",,,,,,,,
                  'Ere's the knife we cut it with!... (he -,,,,,,,,
                  confronts us. Holding it staring at us,,,,,,,,
                  darkly. Murderously ... Eventually...),,,,,,,,
"                  ... Best put this away, eh?. '. (slides",,,,,,,,
                  the knife back into the drawer. Finds,,,,,,,,
                  something else ... Something 2 inches,,,,,,,,
                  tall. His face fills with wonder)...,,,,,,,,
"                  Ere's a little man, look ... off the top",,,,,,,,
                  of the cake! Ain't he 'andsome! (looks,,,,,,,,
                  closely at it)... In 'is little mornin',,,,,,,,
                  suit ... aahh!! - Top hat - spats 'n',,,,,,,,
"                  al l ! . . . I t s m e ! ! . . . ( S u d d e n l y ,",,,,,,,,
"                  violently, he thrusts the 2 inch groom",,,,,,,,
                  towards us/camera. Holding. It. Shaking,,,,,,,,
                  with rage) ... You've made me feel that,,,,,,,,
                  sm a ll ! !! (p u ll s h i ms e lf to g et h er .,,,,,,,,
                  Retracts the figure) ... He's goin' back,,,,,,,,
                  in the drawer! (QUICKLY RETURNS IT) ...,,,,,,,,
                  Safe! ... Away from you!!...,,,,,,,,
,,,,,,,,
                                            CUT BACK TO,,,,,,,,
                                                               75-78.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
67   INT ROOM IN DERELICT HOUSE          NIGHT                     67,,,,,,,,
,,,,,,,,
"     LOVERBOY with his eyes shut ... COLIN, upset, opposite...",,,,,,,,
,,,,,,,,
                         COLIN,,,,,,,,
               Away from you!! ... (TURNING to THE,,,,,,,,
               ROOM) Away from him!!,,,,,,,,
,,,,,,,,
     He turns...and we now see the others back in the room ...,,,,,,,,
     But... LIZ's head is on MEREDITH'S body she smokes ...,,,,,,,,
     MEREDITH'S head is on ARCHIE'S body he leans on the,,,,,,,,
     mantelpiece ... ARCHIE'S head is on MAL's body standing ...,,,,,,,,
     MAL's head is OLD MAN PEANUT's body sitting...,,,,,,,,
,,,,,,,,
     C/U on COLIN'S face ... He can't believe it ... Addresses,,,,,,,,
     the MEREDITH/LIZ person,,,,,,,,
,,,,,,,,
                         COLIN (CONT'D),,,,,,,,
                   (Perplexed),,,,,,,,
"               What's 'appenin', Meredith?",,,,,,,,
,,,,,,,,
     But this figure does not reply ... The response comes from,,,,,,,,
     the LIZ/MEREDITH combo...,,,,,,,,
,,,,,,,,
                         LIZ/MEREDITH,,,,,,,,
                   (But with Old Man Peanut's,,,,,,,,
                    voice),,,,,,,,
"               Oh, I'm not Meredith!",,,,,,,,
,,,,,,,,
                         OMP,,,,,,,,
"                   (but with ARCHIE,s gruff",,,,,,,,
                    voice),,,,,,,,
"               Oh, gawd! !",,,,,,,,
,,,,,,,,
     COLIN confused ... Fascinated ... Scared ... Especially by,,,,,,,,
"     the relaxed, cross legged, smoking, sexy-bodied, feminine",,,,,,,,
     form disturbingly topped with the nasty old head of OLD MAN,,,,,,,,
     PEANUT ... it speaks...,,,,,,,,
,,,,,,,,
                         OMP/LIZ,,,,,,,,
                   (but with MEREDITH'S smooth,,,,,,,,
                    voice),,,,,,,,
               ... My name is Max.,,,,,,,,
,,,,,,,,
                         COLIN,,,,,,,,
               - No - Sacha! ...,,,,,,,,
,,,,,,,,
                                                          CUT TO,,,,,,,,
,,,,,,,,
68   EXT ELEGANT STATELY HOME      DAY                             68,,,,,,,,
,,,,,,,,
     We take in the splendor of a grand old stately house...Over,,,,,,,,
     this we hear...,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
                                                                  ,,,,,,,,
                         Pink Revised   21st May 2008           78A.,,,,,,,,
68   CONTINUED:                                                       68,,,,,,,,
,,,,,,,,
,,,,,,,,
                            MEREDITH V/O,,,,,,,,
                  Sacha is it...Alright...Sacha it,,,,,,,,
"                  is...It's your nightmare, Col...I'm",,,,,,,,
                  only the chauffeur...,,,,,,,,
,,,,,,,,
     We now see MEREDITH.... Immaculate in a dove grey,,,,,,,,
     chauffeur's uniform - below the window ... On the,,,,,,,,
     impressive gravel drive ... Tending to an orange coloured,,,,,,,,
     Bentley... Over this we hear...,,,,,,,,
,,,,,,,,
                            MEREDITH VO,,,,,,,,
                  Liz hates me ... She's a lady ... Rich,,,,,,,,
                  bitch ... Fuck all to do 'cept shop,,,,,,,,
                  and wank... Bored out of her box...,,,,,,,,
                  She's at the window ... looking out,,,,,,,,
                  ... looking down...,,,,,,,,
,,,,,,,,
"     We see the upper regency window ... Behind it, staring",,,,,,,,
"     through, looking down, is LIZ ... Wearing electric pink",,,,,,,,
"     jodhpurs ... Leaf-green, silk, blouse and stock ... Riding",,,,,,,,
     boots ... Her face spectacularly made up - severe.... Over,,,,,,,,
     this we hear...,,,,,,,,
,,,,,,,,
                            MEREDITH VO (CONT'D),,,,,,,,
"                  I'm in the drive, waxing the",,,,,,,,
                  Bentley... I can feel her eyes... on,,,,,,,,
                  me... scorching through my dove-grey,,,,,,,,
                  uniform... but I'll be damned if I'm,,,,,,,,
                  gonna look at her... I know she's,,,,,,,,
                  crying... and I can feel her,,,,,,,,
                  loneliness ... emptiness... longing...,,,,,,,,
                  So I'm buffin' away with my cloth...,,,,,,,,
                  my little chamois - leather!...,,,,,,,,
,,,,,,,,
     MEREDITH stops waxing ... LIZ at the window staring down...,,,,,,,,
     he does not look at her...,,,,,,,,
,,,,,,,,
                             MEREDITH VO (CONT'D),,,,,,,,
                  ... Think I'll `ave a fag... One,,,,,,,,
                  deserve one ... Its hard work rubbing,,,,,,,,
                  a car down... I smoke - What do I,,,,,,,,
                  smoke Col?                                               *,,,,,,,,
,,,,,,,,
                            COLIN (V.O.),,,,,,,,
                  Sovereigns!                                              *,,,,,,,,
,,,,,,,,
     He takes out a pack of cigarettes- studies the box with,,,,,,,,
     mild disapproval...,,,,,,,,
,,,,,,,,
                            MEREDITH VO (CONT'D)                           *,,,,,,,,
                  Sovereigns!...Alright!...Get the ugly                    *,,,,,,,,
                  old silver pack out ... put one in my                    *,,,,,,,,
                  mouth ... yellow 'clipper'... light it,,,,,,,,
                  ... lean on the bonnet... puff away,,,,,,,,
                  ... She's still fuckin' looking at,,,,,,,,
                  me...,,,,,,,,
,,,,,,,,
,,,,,,,,
                                                                      ,,,,,,,,
                        Pink Revised   21st May 2008            78B.,,,,,,,,
68   CONTINUED: (2)                                                   68,,,,,,,,
,,,,,,,,
,,,,,,,,
                         MEREDITH THE CHAUFFEUR,,,,,,,,
                   (Not looking at Liz),,,,,,,,
               ... Aintcha?!,,,,,,,,
,,,,,,,,
                         MEREDITH (V.O.)                                   *,,,,,,,,
"               ...Hang on, you're playing safe `ere                        *",,,,,,,,
               Col. This is more Mal...                                    *,,,,,,,,
,,,,,,,,
                           MAL (V.O.)                                      *,,,,,,,,
               Oh.    Fucking cheers Meredith.                             *,,,,,,,,
,,,,,,,,
     Suddenly Mal is the chauffeur -looking as though he's                 *,,,,,,,,
     dressed in a hurry...                                                 *,,,,,,,,
,,,,,,,,
                         MAL VO                                            *,,,,,,,,
               What am I doin' `ere?... Is she,,,,,,,,
               looking at me?...She is ain't,,,,,,,,
               she...She's looking at me!...,,,,,,,,
,,,,,,,,
"     We see LIZ at the window... She is slowly, erotically,",,,,,,,,
"     flagrantly, licking the glass...",,,,,,,,
,,,,,,,,
                         MAL VO (CONT'D)                                   *,,,,,,,,
               Hold up!...What's she doin',,,,,,,,
               now?...She's licking the bleedin',,,,,,,,
               window...Licking the bleedin',,,,,,,,
               glass!...What's she doin' that,,,,,,,,
"               for?...That's a bit weird,",,,,,,,,
               innit?!...Bloody `ell!,,,,,,,,
,,,,,,,,
     Now he turns ... C/U on him as he looks up at the window,,,,,,,,
     and stares ... Over this we hear...,,,,,,,,
,,,,,,,,
                         MAL VO (CONT'D)                                   *,,,,,,,,
               ... That's not right! - That ain't -,,,,,,,,
"               That's wrong!...Take note Colin, this                       *",,,,,,,,
               has nothing to do wi' me ...I'm just                        *,,,,,,,,
               mindin' my own business ... I'm just,,,,,,,,
               'aving a break - `Aving a kit kat!,,,,,,,,
,,,,,,,,
                                                             CUT TO,,,,,,,,
,,,,,,,,
69   INT ROOM IN DERELICT HOUSE   NIGHT                               69,,,,,,,,
,,,,,,,,
     All in the room...'normal! Again...MAL snaps a piece of,,,,,,,,
     chocolate off a bar and hands it to ARCHIE...,,,,,,,,
,,,,,,,,
                         ARCHIE,,,,,,,,
                   (To Meredith),,,,,,,,
               They ain't lookin' for a gardener at,,,,,,,,
"               this place by any chance, are they?",,,,,,,,
