,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
                out to wear ... whatever combination - it,,,,,,,,
                works! - You look superb! ... And your,,,,,,,,
                underw ear - immac ulate ! 100 % cot ton!,,,,,,,,
                Dazzlin'!... Not like my pinky grey-y,,,,,,,,
"                things! Nah, you've just got it - good at",,,,,,,,
                everythin'! ... Me - on the other hand -,,,,,,,,
"                I'm good at sittin'!... Sit, sit, sit...",,,,,,,,
"                watch, watch, watch ... drink, drink,",,,,,,,,
"                drink... Honestly, she must've spent                        *",,,,,,,,
"                half our marriage yawnin ""... The kids --",,,,,,,,
                d'you know what they call me? - Captain,,,,,,,,
"                Arsehole! - Oh, but they do! Captain",,,,,,,,
                Arsehole! - They were thinkin' of gettin',,,,,,,,
                T-shirts printed up for the whole family,,,,,,,,
                with my photo on them and the legend,,,,,,,,
"                ""Captain Arsehole"" printed underneath!...",,,,,,,,
                And you know what? - I'd ave worn one! -,,,,,,,,
                I would've! If it'd've pleased them -,,,,,,,,
                given 'em a laugh - I'd a worn one! ...,,,,,,,,
"                Wouldn't I, Liz?",,,,,,,,
,,,,,,,,
      He turns-but the room is empty ... Just him and LOVERBOY ...,,,,,,,,
      COLIN realises he's been seen talking to himself ... Turns on,,,,,,,,
      LOVERBOY...,,,,,,,,
,,,,,,,,
                           COLIN (CONT'D),,,,,,,,
                What you starin' at?!... French Cunt!...                    *,,,,,,,,
                Sittin' there all superior... Shut your,,,,,,,,
                mouth - shut your noise... (pause) Shut,,,,,,,,
                your eyes!... Shut your fuckin' eyes!...,,,,,,,,
                (LOV ERB OY do es so ... CO LI N g ra bs a,,,,,,,,
                chair... sits facing LOVERBOY)...,,,,,,,,
                           (MORE),,,,,,,,
                                                                     ,,,,,,,,
                          Pink Revised   21st May 2008             73.,,,,,,,,
65   CONTINUED:                                                         65,,,,,,,,
                            COLIN (CONT'D),,,,,,,,
"                  Right - you're comin' with me!... (pause,",,,,,,,,
                  stares hard at terrified LOVERBOY ) ...,,,,,,,,
                  This is it... here we are... The Master,,,,,,,,
"                  bedroom, look...",,,,,,,,
,,,,,,,,
                                        CUT TO,,,,,,,,
,,,,,,,,
66   INT MASTER BEDROOM DETACHED SUBURBAN VILLA DAY                     66,,,,,,,,
,,,,,,,,
     We enter the bedroom just behind COLIN ... He looks over his,,,,,,,,
     shoulder ... Talks/refers directly to camera/LOVERBOY ...,,,,,,,,
,,,,,,,,
                              COLIN,,,,,,,,
                  ...recently painted... That's the bed...,,,,,,,,
                  see the tangled sheets?!... (indicates a,,,,,,,,
                  door. Opens it.)... Bathroom! - en suite,,,,,,,,
                  look ... gold taps! - but never mind,,,,,,,,
                  that... ignore all that... that's not why,,,,,,,,
                  you're in `ere... It's that - that look -,,,,,,,,
                  this - this look - this 'ere... (he has,,,,,,,,
                  moved to a chest of drawers)... this,,,,,,,,
"                  chest of drawers... Inside here, mate, is",,,,,,,,
                  tre as ure .. . (ca re ss es th e che st o f,,,,,,,,
                  drawers). Treasure like you wouldn't,,,,,,,,
                  fuckin' believe! - Should we have a look,,,,,,,,
                  inside it?... Shall we?...We fuckin',,,,,,,,
                  shall!... (slowly opens a drawer)... What,,,,,,,,
"                  we got 'ere? 'S her underwear, look ...",,,,,,,,
                  all s oft a n' wa rm .. . a n' p ret ty .. .,,,,,,,,
                  (slowly turns to us. Stares darkly. Turns,,,,,,,,
                  away. Shuts the drawer)... Shut that...,,,,,,,,
                  'Ow a bou t th is on e? (o pe ns an ot he r,,,,,,,,
                  drawer ) My socks and pants ! (cl oses,,,,,,,,
                  it)... What about this one? This could be,,,,,,,,
                  interestin'... (slowly opens another,,,,,,,,
                  drawer. His face lights up). Bingo! (He,,,,,,,,
                  extracts an old document. holds it up for,,,,,,,,
                  us to see) ... See this? See it? D'you,,,,,,,,
                  know what this is? No?... I'll tell ya,,,,,,,,
                  what this is - 's the contract!...'s the,,,,,,,,
                  marriage contract! (stares smugly)...,,,,,,,,
"                  Lets see what it says, shall we? (READS)",,,,,,,,
                  'Mr and Mrs Colin Diamond!'... It's there,,,,,,,,
                  in black and white. Plain as the broken,,,,,,,,
                  nose on your face...'Married'! 'By law!,,,,,,,,
                  'Before God'!... There's no gettin' round,,,,,,,,
                  that!... We must accept that!... So...,,,,,,,,
                  this piece of paper's gonna be a bit,,,,,,,,
"                  trick y... yeah, diff icult ... hmm ...",,,,,,,,
"                  (MUSES) Tell ya what, lets lay it aside",,,,,,,,
"                  for a bit... (puts it back)...'Allo ,",,,,,,,,
                  what's this? (takes out a photograph) 'S,,,,,,,,
                  a p ho to! T ha t's u s on ou r wed di ng ',,,,,,,,
                  day!... Don't laugh at-the suit ... pony,,,,,,,,
                  'aircut!.. (stares at it intently) But,,,,,,,,
                  didn't she look lovely!....What else we,,,,,,,,
                  got in 'ere? (rummages) The stuff you,,,,,,,,
"                  keep!...'Ere's 'er garter, look!",,,,,,,,
                              (MORE),,,,,,,,
                                                                        ,,,,,,,,
