,,Scene Boundary,Scene Description/Direction,Character,Dialogue,Dialogue Metadata,Transition,Metadata
line,,S,N,C,D,E,T,M
       Marco says nothing.  Holding back what he's thinking. ,,,,,,,,
 ,,,,,,,,
                          LT. COL. HOWARD ,,,,,,,,
,,,,,,,,
"                Look, we've been over this a million ",,,,,,,,
                times.  Until you forgive yourself for ,,,,,,,,
"                what happened that night in Kuwait, the ",,,,,,,,
,,,,,,,,
"                loss of your men -- for what you did, for ",,,,,,,,
,,,,,,,,
                what you didn't do ... ,,,,,,,,
       No reaction from Marco.  The Lt. Colonel sighs. ,,,,,,,,
,,,,,,,,
 ,,,,,,,,
                          LT. COL. HOWARD ,,,,,,,,
                How's Public Affairs? ,,,,,,,,
 ,,,,,,,,
                          MARCO ,,,,,,,,
,,,,,,,,
"                It sucks, sir.  I want to get back to ",,,,,,,,
                Intelligence. ,,,,,,,,
 ,,,,,,,,
                          LT. COL. HOWARD ,,,,,,,,
,,,,,,,,
"                Then for God's sake, Ben, go back on your ",,,,,,,,
"                meds.  And stay on them, this time.  Get",,,,,,,,
                 some sleep,,,,,,,,
.  I'll see you in two weeks. ,,,,,,,,
 ,,,,,,,,
                          MARCO ,,,,,,,,
"                Yes sir.  Same time, same station. ",,,,,,,,
 ,,,,,,,,
 ,,,,,,,,
   ,,,,,,,,
 ,,,,,,,,
    8/18/03  30. ,,,,,,,,
 ,,,,,,,,
        Marco starts to get up -- ,,,,,,,,
,,,,,,,,
 ,,,,,,,,
                          LT. COL. HOWARD ,,,,,,,,
                And stay the hell away from television. ,,,,,,,,
 ,,,,,,,,
61    OMITTED ,,,,,,,,
61  62    OMITTED ,,,,,,,,
62  ,,,,,,,,
63    INT./EXT. D.C. BOTANICAL GARDENS - DAY 63 ,,,,,,,,
,,,,,,,,
       Festive champagne brunch.  Lush indoor foliage.  The Capitol ,,,,,,,,
"      Dome visible in the b.g.  Huge, graphic banners declaim the ",,,,,,,,
,,,,,,,,
      campaign slogan: SECURE TOMORROW and the ticket: ARTHUR- ,,,,,,,,
,,,,,,,,
      SHAW.        An elegant ALL-WOMAN HARP ORCHESTRA plays new-age patriotic ,,,,,,,,
,,,,,,,,
"      music, and a thick crowd of WEALTHY PARTY INNER CIRCLE  ",,,,,,,,
,,,,,,,,
"      members jostle between elegant food stations, or cue up for ",,,,,,,,
      thirty seconds with presidential-hopeful Robert Arthur. ,,,,,,,,
 ,,,,,,,,
      MOVING WITH - MARCO ,,,,,,,,
,,,,,,,,
"       who has two retired, old bastard Generals in his company,  ",,,,,,,,
      stars gleaming on their shoulders.  Marco's eyes scan the ,,,,,,,,
,,,,,,,,
      room; he's a man on a mission: ,,,,,,,,
,,,,,,,,
                           GENERAL SLOAN ,,,,,,,,
"                No offense, Major, but it chaps my ass we ",,,,,,,,
,,,,,,,,
                gotta have a babysitter. ,,,,,,,,
,,,,,,,,
                           MARCO ,,,,,,,,
"                Sir, I'm just here to keep you from ",,,,,,,,
,,,,,,,,
                getting into fist-fights with the Navy ,,,,,,,,
,,,,,,,,
                guys. ,,,,,,,,
"       The old generals laugh, appreciate this.  Marco stops -- ",,,,,,,,
,,,,,,,,
      eureka -- he's found his target: ,,,,,,,,
,,,,,,,,
       MARCO'S P.O.V. - ACROSS THE HUGE ROOM - RAYMOND ,,,,,,,,
 ,,,,,,,,
      holding side-show vice-presidential court for some enamored ,,,,,,,,
,,,,,,,,
      young women and their banker husbands.  SECRET SERVICE ,,,,,,,,
"      agents, including his everpresent Anderson, maintaining a ",,,,,,,,
      careful perimeter. ,,,,,,,,
,,,,,,,,
 ,,,,,,,,
                          GENERAL WILSON (O.S.) ,,,,,,,,
                Major Marco -- ,,,,,,,,
 ,,,,,,,,
      MARCO AND THE GENERALS ,,,,,,,,
,,,,,,,,
       Marco forced to pull his gaze away from Raymond: ,,,,,,,,
 ,,,,,,,,
                          GENERAL WILSON ,,,,,,,,
,,,,,,,,
                -- this Army of Two's gonna do some recon ,,,,,,,,
                on the no host bar. ,,,,,,,,
 ,,,,,,,,
 ,,,,,,,,
   ,,,,,,,,
 ,,,,,,,,
    8/18/03  31. ,,,,,,,,
 ,,,,,,,,
                            MARCO ,,,,,,,,
,,,,,,,,
"                Right behind you, sirs. ",,,,,,,,
,,,,,,,,
       Whereupon  ,,,,,,,,
      SENATOR ELEANOR SHAW ,,,,,,,,
,,,,,,,,
       powers through with Gillespie and a couple of our media ,,,,,,,,
"      FLAKS, giving them an earful: ",,,,,,,,
,,,,,,,,
 ,,,,,,,,
                          ELLIE ,,,,,,,,
"                -- billions of dollars, thousands of  ",,,,,,,,
"                troops, sacrificed on behalf of a  ",,,,,,,,
,,,,,,,,
                disastrous foreign policy which has only ,,,,,,,,
,,,,,,,,
                served to galvanize our enemies -- ,,,,,,,,
                 ELLIE                           MARCO                        ,,,,,,,,
,,,,,,,,
      Excuse us please --             Whoa -- ,,,,,,,,
,,,,,,,,
       FOR AN INSTANT Ellie and Marco lock eyes -- then the crowd ,,,,,,,,
      swallows her again -- ,,,,,,,,
,,,,,,,,
